"ID","Essai","Temps Experience","Temps total Inactivite","Temps total Activite","Temps total de Manipulation","Nbr Total de Manipulation","Temps Total Consultation Instruction","Nb Total de Consultation","Nombre erreur","Proposition_Phase"
"ID10","1","96.099953","55.673687","40.426266","22.837461","23","17.588800","24","5","1"
"ID10","2","54.533314","31.585220","22.948090","22.248150","21","0.699940","2","1","2"
"ID10","3","41.166672","24.883051","16.283621","16.283621","15","0.000000","0","0","2"
"ID10","4","42.422218","22.697981","19.724239","19.724239","19","0.000000","0","0","3"
"ID10","5","33.722225","18.840277","14.881948","14.881948","17","0.000000","0","0","3"
"ID12","1","209.733292","93.808098","115.925201","45.847500","23","70.077705","51","12","1"
"ID12","2","90.100006","59.146221","30.953791","30.953791","16","0.000000","0","5","2"
"ID12","3","57.322231","27.547091","29.775141","29.775141","14","0.000000","0","0","2"
"ID12","4","53.033329","27.599150","25.434179","25.434179","15","0.000000","0","0","3"
"ID12","5","39.566673","23.284307","16.282360","16.282360","11","0.000000","0","0","3"
"ID14","1","126.855598","63.149300","63.706299","38.828094","22","24.878201","20","2","1"
"ID14","2","71.688889","36.669140","35.019749","31.253080","22","3.766670","5","5","2"
"ID14","3","51.511112","27.764149","23.746960","23.746960","24","0.000000","0","1","2"
"ID14","4","55.844440","29.067570","26.776871","26.776871","16","0.000000","0","0","2"
"ID14","5","33.588886","18.482790","15.106100","15.106100","11","0.000000","0","0","3"
"ID14","6","42.444447","26.583050","15.861400","12.450300","10","3.411100","7","0","3"
"ID14","7","37.144447","21.052330","16.092119","16.092119","14","0.000000","0","0","3"
"ID14","8","34.422218","18.548740","15.873479","15.873479","12","0.000000","0","0","3"
"ID14","9","32.144451","16.049940","16.094509","16.094509","10","0.000000","0","0","3"
"ID15","1","83.811104","45.098900","38.712200","24.556700","25","14.155500","18","9","1"
"ID15","2","41.188889","21.730852","19.458040","18.080259","21","1.377780","2","2","2"
"ID15","3","30.855560","14.407270","16.448290","16.448290","23","0.000000","0","1","2"
"ID15","4","29.677780","12.485530","17.192249","17.192249","19","0.000000","0","0","2"
"ID15","5","23.133329","9.917270","13.216060","13.216060","15","0.000000","0","0","3"
"ID15","6","23.422224","10.538054","12.884171","12.884171","16","0.000000","0","1","3"
"ID15","7","22.122219","9.416081","12.706139","12.706139","16","0.000000","0","0","3"
"ID15","8","22.133341","10.328020","11.805320","11.805320","12","0.000000","0","0","3"
"ID15","9","24.911110","11.083530","13.827580","13.827580","17","0.000000","0","0","3"
"ID16","1","128.144501","52.280102","75.864403","32.453201","17","43.411201","17","4","1"
"ID16","2","107.944489","48.377911","59.566582","27.999750","20","31.566830","31","6","1"
"ID16","3","53.955551","27.677212","26.278339","24.533899","22","1.744440","2","0","2"
"ID16","4","47.077782","24.977779","22.100000","22.100000","20","0.000000","0","0","2"
"ID16","5","46.833340","22.143791","24.689548","24.689548","23","0.000000","0","0","3"
"ID16","6","48.899994","22.391302","26.508688","26.508688","22","0.000000","0","1","3"
"ID16","7","41.066673","20.340839","20.725830","20.725830","16","0.000000","0","0","3"
"ID16","8","40.422230","19.529797","20.892429","20.892429","13","0.000000","0","0","3"
"ID16","9","40.955551","19.897532","21.058020","21.058020","14","0.000000","0","0","3"
"ID17","1","226.300003","104.541901","121.758095","48.058399","53","73.699699","37","18","1"
"ID17","2","114.366707","64.092247","50.274448","27.885330","30","22.389120","20","0","1"
"ID17","3","56.266670","34.174911","22.091761","21.225090","23","0.866670","1","0","2"
"ID17","4","75.955559","49.466747","26.488811","25.011040","27","1.477771","3","6","2"
"ID17","5","66.111122","37.968513","28.142609","28.142609","36","0.000000","0","0","2"
"ID17","6","47.599998","26.641169","20.958832","20.958832","24","0.000000","0","0","3"
"ID17","7","45.988888","26.119312","19.869579","19.869579","26","0.000000","0","0","3"
"ID18","1","355.644409","156.994904","198.649506","68.649307","52","130.000198","117","23","1"
"ID18","2","55.400002","36.029499","19.370501","15.681700","16","3.688800","5","1","2"
